Label,FilePath,FileName,Duration (seconds)
backward,AudioData\backward\0165e0e8_nohash_0.wav,0165e0e8_nohash_0.wav,1.0
backward,AudioData\backward\017c4098_nohash_0.wav,017c4098_nohash_0.wav,1.0
backward,AudioData\backward\017c4098_nohash_1.wav,017c4098_nohash_1.wav,1.0
backward,AudioData\backward\017c4098_nohash_2.wav,017c4098_nohash_2.wav,1.0
backward,AudioData\backward\017c4098_nohash_3.wav,017c4098_nohash_3.wav,1.0
backward,AudioData\backward\017c4098_nohash_4.wav,017c4098_nohash_4.wav,1.0
backward,AudioData\backward\02ade946_nohash_0.wav,02ade946_nohash_0.wav,1.0
backward,AudioData\backward\02ade946_nohash_1.wav,02ade946_nohash_1.wav,1.0
backward,AudioData\backward\02ade946_nohash_2.wav,02ade946_nohash_2.wav,1.0
backward,AudioData\backward\02ade946_nohash_3.wav,02ade946_nohash_3.wav,1.0
backward,AudioData\backward\02ade946_nohash_4.wav,02ade946_nohash_4.wav,1.0
backward,AudioData\backward\03401e93_nohash_0.wav,03401e93_nohash_0.wav,1.0
backward,AudioData\backward\03401e93_nohash_1.wav,03401e93_nohash_1.wav,1.0
backward,AudioData\backward\042a8dde_nohash_0.wav,042a8dde_nohash_0.wav,1.0
backward,AudioData\backward\042a8dde_nohash_1.wav,042a8dde_nohash_1.wav,1.0
backward,AudioData\backward\042a8dde_nohash_2.wav,042a8dde_nohash_2.wav,1.0
backward,AudioData\backward\042a8dde_nohash_3.wav,042a8dde_nohash_3.wav,1.0
backward,AudioData\backward\050170cb_nohash_0.wav,050170cb_nohash_0.wav,1.0
backward,AudioData\backward\050170cb_nohash_1.wav,050170cb_nohash_1.wav,1.0
backward,AudioData\backward\050170cb_nohash_2.wav,050170cb_nohash_2.wav,1.0
backward,AudioData\backward\050170cb_nohash_3.wav,050170cb_nohash_3.wav,1.0
backward,AudioData\backward\050170cb_nohash_4.wav,050170cb_nohash_4.wav,1.0
backward,AudioData\backward\0585b66d_nohash_0.wav,0585b66d_nohash_0.wav,1.0
backward,AudioData\backward\0585b66d_nohash_1.wav,0585b66d_nohash_1.wav,1.0
backward,AudioData\backward\0585b66d_nohash_2.wav,0585b66d_nohash_2.wav,1.0
backward,AudioData\backward\0585b66d_nohash_3.wav,0585b66d_nohash_3.wav,1.0
backward,AudioData\backward\0585b66d_nohash_4.wav,0585b66d_nohash_4.wav,1.0
backward,AudioData\backward\067f61e2_nohash_0.wav,067f61e2_nohash_0.wav,1.0
backward,AudioData\backward\067f61e2_nohash_1.wav,067f61e2_nohash_1.wav,1.0
backward,AudioData\backward\067f61e2_nohash_2.wav,067f61e2_nohash_2.wav,1.0
backward,AudioData\backward\067f61e2_nohash_3.wav,067f61e2_nohash_3.wav,1.0
backward,AudioData\backward\067f61e2_nohash_4.wav,067f61e2_nohash_4.wav,1.0
backward,AudioData\backward\06f6c194_nohash_0.wav,06f6c194_nohash_0.wav,1.0
backward,AudioData\backward\06f6c194_nohash_1.wav,06f6c194_nohash_1.wav,1.0
backward,AudioData\backward\06f6c194_nohash_2.wav,06f6c194_nohash_2.wav,1.0
backward,AudioData\backward\06f6c194_nohash_3.wav,06f6c194_nohash_3.wav,1.0
backward,AudioData\backward\06f6c194_nohash_4.wav,06f6c194_nohash_4.wav,1.0
backward,AudioData\backward\08ab231c_nohash_0.wav,08ab231c_nohash_0.wav,1.0
backward,AudioData\backward\08ab231c_nohash_1.wav,08ab231c_nohash_1.wav,1.0
backward,AudioData\backward\08ab231c_nohash_2.wav,08ab231c_nohash_2.wav,1.0
backward,AudioData\backward\08ab231c_nohash_3.wav,08ab231c_nohash_3.wav,1.0
backward,AudioData\backward\08ab231c_nohash_4.wav,08ab231c_nohash_4.wav,1.0
backward,AudioData\backward\0a2b400e_nohash_0.wav,0a2b400e_nohash_0.wav,1.0
backward,AudioData\backward\0a2b400e_nohash_1.wav,0a2b400e_nohash_1.wav,1.0
backward,AudioData\backward\0a2b400e_nohash_2.wav,0a2b400e_nohash_2.wav,1.0
backward,AudioData\backward\0a2b400e_nohash_3.wav,0a2b400e_nohash_3.wav,1.0
backward,AudioData\backward\0a2b400e_nohash_4.wav,0a2b400e_nohash_4.wav,1.0
backward,AudioData\backward\0a396ff2_nohash_0.wav,0a396ff2_nohash_0.wav,0.682625
backward,AudioData\backward\0a5636ca_nohash_0.wav,0a5636ca_nohash_0.wav,1.0
backward,AudioData\backward\0b7ee1a0_nohash_0.wav,0b7ee1a0_nohash_0.wav,1.0
backward,AudioData\backward\0b7ee1a0_nohash_1.wav,0b7ee1a0_nohash_1.wav,1.0
backward,AudioData\backward\0b7ee1a0_nohash_2.wav,0b7ee1a0_nohash_2.wav,1.0
backward,AudioData\backward\0b7ee1a0_nohash_3.wav,0b7ee1a0_nohash_3.wav,1.0
backward,AudioData\backward\0b7ee1a0_nohash_4.wav,0b7ee1a0_nohash_4.wav,1.0
backward,AudioData\backward\0ba018fc_nohash_0.wav,0ba018fc_nohash_0.wav,1.0
backward,AudioData\backward\0ba018fc_nohash_1.wav,0ba018fc_nohash_1.wav,1.0
backward,AudioData\backward\0ba018fc_nohash_2.wav,0ba018fc_nohash_2.wav,1.0
backward,AudioData\backward\0ba018fc_nohash_3.wav,0ba018fc_nohash_3.wav,1.0
backward,AudioData\backward\0c540988_nohash_0.wav,0c540988_nohash_0.wav,1.0
backward,AudioData\backward\0cb74144_nohash_0.wav,0cb74144_nohash_0.wav,1.0
backward,AudioData\backward\0cb74144_nohash_1.wav,0cb74144_nohash_1.wav,1.0
backward,AudioData\backward\0cb74144_nohash_2.wav,0cb74144_nohash_2.wav,1.0
backward,AudioData\backward\0cb74144_nohash_3.wav,0cb74144_nohash_3.wav,1.0
backward,AudioData\backward\0d6d7360_nohash_0.wav,0d6d7360_nohash_0.wav,1.0
backward,AudioData\backward\0d6d7360_nohash_1.wav,0d6d7360_nohash_1.wav,1.0
backward,AudioData\backward\0d6d7360_nohash_2.wav,0d6d7360_nohash_2.wav,1.0
backward,AudioData\backward\0d6d7360_nohash_3.wav,0d6d7360_nohash_3.wav,1.0
