accuracy,loss,val_accuracy,val_loss
0.4624660909175873,1.814050555229187,0.18651892244815826,2.9278643131256104
0.7014021277427673,0.8390181660652161,0.18744228780269623,7.5156331062316895
0.7746812105178833,0.6291712522506714,0.2774699926376343,9.984000205993652
0.8172638416290283,0.5291699767112732,0.7853185534477234,0.6391648054122925
0.8474410176277161,0.4350336194038391,0.6648199558258057,1.1235722303390503
0.8689054250717163,0.36773550510406494,0.7137580513954163,0.8298055529594421
0.8897928595542908,0.3160618543624878,0.8642659187316895,0.4086708724498749
0.9047371745109558,0.2715846598148346,0.876731276512146,0.42758652567863464
0.91887366771698,0.22913531959056854,0.8642659187316895,0.5538685321807861
0.926720917224884,0.2115975171327591,0.8434903025627136,0.5636982321739197
0.9373376965522766,0.18490850925445557,0.8785780072212219,0.4720035195350647
0.9453003406524658,0.15620914101600647,0.8610341548919678,0.48824000358581543
